Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Tyler Anderson","LAA",45.1,93.26883720930233,80.928,96.53216216216217,,103.94470588235293,73.11999999999999,101.94219607843138,,,96.90443537414967,98.00497959183672,89.99869387755099,"Tyler Anderson",12880,542881
"Matthew Boyd","CHC",45.1,86.41797014925373,94.80117647058826,,,112.13082191780822,108.6695238095238,93.92480519480519,,,95.445698630137,101.3395890410959,93.1513424657534,"Matthew Boyd",15440,571510
"Kyle Freeland","COL",45.1,93.9593893129771,85.06780821917808,88.87053763440859,,108.5496551724138,,73.65142857142858,111.56415384615386,,95.66495798319328,102.25708683473387,97.80977591036412,"Kyle Freeland",16256,607536
"Jordan Hicks","SFG",45.1,93.76163934426229,107.44661458333333,,114.3866666666667,115.33964601769912,,,,,109.21801398601399,99.452027972028,106.91627972027972,"Jordan Hicks",19618,663855
"Max Meyer","MIA",45.1,87.33540540540541,102.51063829787235,,,93.08127167630057,,99.86101694915256,,,94.24533333333333,105.42462411347516,104.535914893617,"Max Meyer",27474,676974
"JP Sears","ATH",45,78.21621052631579,77.82000000000001,,,121.37943573667712,,82.24342857142857,,,98.29759668508291,108.78767955801105,101.23375690607732,"JP Sears",23429,676664
"Tanner Bibee","CLE",45,86.65386554621848,114.3357723577236,100.59595375722543,,114.86992481203006,107.56142857142856,112.96193548387097,,,102.67067344345617,95.75074968233801,99.5156797966963,"Tanner Bibee",30134,676440
"Eduardo Rodriguez","ARI",44.2,91.72851485148514,98.83066666666667,93.70811881188118,,100.44935064935065,,90.21434482758622,,,93.41384835479253,101.38575107296136,95.96972818311872,"Eduardo Rodriguez",13164,593958
"Ben Lively","CLE",44.2,78.17555555555556,91.71362318840579,80.79387096774194,,85.78054794520547,85.32489795918367,59.64857142857142,,,82.84917355371901,103.95749311294767,83.15432506887055,"Ben Lively",14932,594902
"Shota Imanaga","CHC",44.2,111.86976470588236,72.50666666666667,,80.8429535864979,109.58123456790126,80.96190476190476,86.052,,,99.3520114942529,113.3514942528735,112.37744252873563,"Shota Imanaga",33829,684007
"Nick Pivetta","SDP",44.1,95.05146892655368,92.38421052631577,84.94315789473684,,105.92861313868615,90.99752066115703,,,,95.59379008746359,110.04408163265309,106.26970845481048,"Nick Pivetta",15454,601713
"David Peterson","NYM",44.1,78.36276595744681,95.04688995215311,,,104.9116923076923,84.53440860215055,85.80825396825396,,,89.69835579514825,101.75218328840973,95.1867924528302,"David Peterson",20302,656849
